"esco_role","country_name","n_job_offers","median_min_salary","median_max_salary"
building cleaner,Spain,106,17500.0,19099.25
building cleaner,United Kingdom,51,28523.52,28615.68
building construction worker,France,33,22809.600000000002,24960.0
building construction worker,Germany,118,28000.0,38000.0
building construction worker,Spain,63,18000.0,21600.0
building construction worker,United Kingdom,29,29952.0,34560.0
building electrician,United Kingdom,65,46080.0,52992.0
building exterior cleaner,Germany,13,25000.0,35000.0
building information modelling consultant,United Kingdom,14,24000.0,120000.0
building inspector,United Kingdom,24,66000.0,90000.0
building materials specialised seller,Germany,12,28000.0,39000.0
building materials specialised seller,United Kingdom,16,32400.0,34800.0
bus driver,Brazil,16,5827.608,5827.608
bus driver,France,20,23280.0,24960.0
bus driver,Germany,221,29000.0,37480.0
bus driver,Spain,82,21420.0,26356.84608
bus driver,United Kingdom,22,36000.0,45043.200000000004
business analyst,Brazil,26,6028.5599999999995,6028.5599999999995
business analyst,France,17,36144.0,45000.0
business analyst,Germany,200,40406.39,60000.0
business analyst,India,29,4950.0,9119.792
business analyst,Spain,69,39000.0,45000.0
business analyst,United Kingdom,812,24000.0,120000.0
business analyst,United States,31,61756.99,86005.05
business coach,United Kingdom,19,24000.0,120000.0
business consultant,Brazil,19,3183.58206,3416.184
business consultant,France,24,25704.0,29300.0
business consultant,Germany,428,38590.90909090909,57369.46386946387
business consultant,India,19,5940.0,8792.784
business consultant,Spain,126,23177.777777777777,30533.333333333336
business consultant,United Kingdom,222,28935.2,100196.36363636363
business developer,France,53,60000.0,60000.0
business developer,Germany,81,44250.0,65625.0
business developer,Spain,82,25000.0,30000.0
business developer,United Kingdom,450,31131.41052631579,49270.58823529412
business economics researcher,United Kingdom,11,24000.0,120000.0
business intelligence manager,Germany,34,52000.0,73000.0
business intelligence manager,Spain,18,28000.0,39000.0
business intelligence manager,United Kingdom,56,48000.0,78000.0
business lecturer,United Kingdom,52,42000.0,58900.799999999996
business manager,Brazil,27,8038.08,10644.42744
business manager,France,50,40000.0,45000.0
business manager,Germany,526,29000.0,40325.71428571428
business manager,India,13,6119.585999999999,9780.539999999999
business manager,Spain,84,24000.0,40000.0
business manager,United Kingdom,976,47988.032,67248.21185064934
business service manager,Germany,142,29000.0,42000.0
business service manager,United Kingdom,78,28200.0,120000.0
business studies and economics teacher secondary school,United Kingdom,66,40320.0,63360.0
business valuer,United Kingdom,30,36000.0,66000.0
butcher,France,18,23040.0,25000.0
butcher,Germany,143,26000.0,36000.0
butcher,Spain,115,16004.0,18000.0
butcher,United Kingdom,25,29952.0,34560.0
cadastral technician,United Kingdom,50,33600.0,42000.0
calculation engineer,Germany,194,31402.380952380954,42928.88888888889
calculation engineer,Spain,26,26400.0,30000.0
calculation engineer,United Kingdom,12,24000.0,120000.0
calibration technician,Germany,47,33000.0,46000.0
calibration technician,United Kingdom,29,33600.0,42000.0
call centre agent,Brazil,215,2613.894304,2616.39504
call centre agent,Germany,128,25810.0,33225.0
call centre agent,Spain,804,12440.78787878788,17599.939218544478
call centre agent,United Kingdom,103,27770.4,36240.0
call centre agent,United States,15,31229.149999999998,40640.09
call centre analyst,Germany,13,44000.0,65000.0
call centre analyst,India,16,4829.759,7974.999999999999
call centre analyst,Spain,23,27500.0,27500.0
call centre analyst,United Kingdom,113,31607.7,51750.0
call centre manager,Spain,51,17000.0,20000.0
call centre manager,United Kingdom,18,29090.399999999998,42000.0
call centre quality auditor,Spain,11,18000.0,28000.0
call centre quality auditor,United Kingdom,18,33600.0,36600.0
call centre supervisor,Brazil,15,3818.0879999999997,3818.0879999999997
call centre supervisor,Spain,56,15014.769216,18000.0
call centre supervisor,United Kingdom,42,28828.8,39840.0
capsule filling machine operator,United Kingdom,28,29376.0,31173.11999999999
car and van delivery driver,Spain,58,15600.0,17000.0
car and van delivery driver,United Kingdom,29,30804.479999999996,32486.399999999998
car driving instructor,United Kingdom,17,57600.0,66055.68000000001
